"Id","Title","Price","CPU_Brand","CPU_Type","CPU_Speed","CPU_Cores","GPU","RAM in GB","Hard Drive / Type","Hard Drive / Capacity (GB)"
"901540"," X1 Carbon 7 Gen I5 8265U 16Gb 256Gb W10P 20Qd00Ksuk","1379.15","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","256"
"901541"," X1 Carbon 7 Gen I7 8565U 16Gb 512Gb W10P 20Qd00Kwuk","1619.80","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","512"
"901542"," X1 Carbon 7 Gen I5 8265U 8Gb 256Gb W10P 20Qd00Knuk","1263.31","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"901659"," Lenovo V155 15Api Ryzen 5 Laptop 81V50008Uk","369.06","AMD","Ryzen 5","2.1GHz","Quad-Core","AMD Radeon Vega 8","8","SSD","256"
"901660"," Lenovo Thinkbook 13S Core I5 8Gb 256Gb Ssd Win10 Pro 20R90054Uk","604.14","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"901662"," 100E Gen 2 N4100 4Gb 128G W10P Academic 81M8000Puk","233.32","Intel","Celeron","1.1GHz","Quad-Core","Intel UHD Graphics 600","4","SSD","128"
"901663"," Lenovo 14W Amd A6 9220C 4Gb 64Gb Ssd 14 Inch Windows 10 Pro 81Mq000Euk","223.32","AMD","A6","1.8GHz","Dual-Core","AMD Radeon R5","4","SSD","64"
"901664"," Lenovo Thinkbook 13S Core I7 16Gb 512Gb Ssd Win10 Pro 20R90059Uk","776.78","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","512"
"901665"," 300E Gen 2 N4100 4Gb 64Gb W10P Academic 81M9000Yuk","252.49","Intel","Celeron","1.1GHz","Quad-Core","Intel UHD Graphics 600","4","SSD","64"
"907986"," Asus Rog Zephyrus S I7 16Gb Nvidia Rtx 2080 Gaming Laptop Gx531Gxr Az044T","2509.97","Intel","Core i7","2.6GHz",,"NVIDIA GeForce RTX 2080 / Intel UHD Graphics 630","16","SSD","1000"
"908048"," Msi P75 Creator Core I9 32Gb 1Tb Ssd Rtx 2070 17 3 Win10 9S7 17G112 816","2580.82","Intel","Core i9",,"8-core","NVIDIA GeForce RTX 2070","32","SSD","512"
"908756"," Hp Elitebook X360 830 G5 Core I5 8Gb 256Gb Ssd 13 Win10 5Sr80Ea Abu","1376.66","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
